OTUID,taxonomicClassificationOrig,Domain,Supergroup,Division/Kingdom,Phylum/Class,Level_X,Level_XX,Level_XXX,Level_XXXX,Level_XXXXX,genus_species
Otu2053,Main genome;Eukaryota;Rhizaria;Cercozoa,Eukaryota,Rhizaria,Cercozoa,NA,NA,NA,NA,NA,NA,NA
Otu1741,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Euryte;Euryte (genus);sp. (Euryte (genus)),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Euryte,NA,NA,NA
Otu1740,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu1742,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Bryocamptus;Unknown Bryocamptus genus 3,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Bryocamptus,NA,NA,NA
Otu2058,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Gregarinomorphea (class);X (Gregarinomorphea (class));GRE1;Gregarinomorphea (GRE1);X (Gregarinomorphea (GRE1));GRE1 (X (Gregarinomorphea (GRE1)));X (GRE1 (X (Gregarinomorphea (GRE1))));Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1)))));X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1))))));GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1)))))));XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1))))))));Gregarinomorphea (XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1)))))))));X (Gregarinomorphea (XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1))))))))));GRE1 (X (Gregarinomorphea (XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1)))))))))));XX (GRE1 (X (Gregarinomorphea (XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1))))))))))));sp. (XX (GRE1 (X (Gregarinomorphea (XX (GRE1 (X (Gregarinomorphea (X (GRE1 (X (Gregarinomorphea (GRE1))))))))))))),Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,GRE1,NA,NA,NA,NA,NA
Otu1748,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Cyclopina;Cyclopina (genus);Unknown Cyclopina (genus) species 8,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Cyclopina,NA,NA,NA
Otu1982,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu1981,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,NA,NA
Otu1980,Main genome;Eukaryota;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Lecudinidae,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Eugregarinorida,Lecudinidae,NA,NA,NA,NA
Otu1988,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellales (order);X (Chlorellales (order)),Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Chlorellales,NA,NA,NA,NA,NA
Otu1409,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea;Unknown Ascidiacea genus 3,Eukaryota,Opisthokonta,Metazoa,Urochordata,Ascidiacea,NA,NA,NA,NA,NA
Otu1402,Main genome;Eukaryota;Opisthokonta;Metazoa;Urochordata;Urochordata (class);X (Urochordata (class));Ascidiacea;Unknown Ascidiacea genus 2,Eukaryota,Opisthokonta,Metazoa,Urochordata,Ascidiacea,NA,NA,NA,NA,NA
Otu1576,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Chelicerata;Arachnida;Arachnida (family);X (Arachnida (family));Arachnida (X (Arachnida (family)));X (Arachnida (X (Arachnida (family))));sp. (X (Arachnida (X (Arachnida (family))))),Eukaryota,Opisthokonta,Metazoa,Arthropoda,Chelicerata,Arachnida,NA,NA,NA,NA
Otu1574,Main genome;Eukaryota;Alveolata;Ciliophora;Spirotrichea,Eukaryota,Alveolata,Ciliophora,Spirotrichea,NA,NA,NA,NA,NA,NA
Otu1572,Main genome;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,NA,NA,NA,NA
Otu1198,Main genome;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta (class);X (Bacillariophyta (class));Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros (species),Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Polar-centric-Mediophyceae,Chaetoceros,NA,NA,NA,NA
Otu1199,Main genome;Eukaryota;Archaeplastida;Chlorophyta;Trebouxiophyceae,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,NA,NA,NA,NA,NA,NA
Otu1194,Main genome;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1 (family);X (Dino-Group-I-Clade-1 (family));Dino-Group-I-Clade-1 (X (Dino-Group-I-Clade-1 (family)));X (Dino-Group-I-Clade-1 (X (Dino-Group-I-Clade-1 (family))));sp. (X (Dino-Group-I-Clade-1 (X (Dino-Group-I-Clade-1 (family))))),Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,NA,NA,NA,NA
